Date,Visitor,G,Home,G,,Att.,LOG,Notes
2013-03-03,Buffalo Sabres,2,New York Rangers,3,SO,"17,200",,
2013-03-04,Nashville Predators,1,Los Angeles Kings,5,,"18,118",,
2013-03-04,Anaheim Ducks,4,Phoenix Coyotes,5,SO,"11,024",,
2013-03-04,Tampa Bay Lightning,3,Pittsburgh Penguins,4,,"18,656",,
2013-03-04,New Jersey Devils,2,Toronto Maple Leafs,4,,"19,435",,
2013-03-05,Buffalo Sabres,3,Carolina Hurricanes,4,,"15,277",,
2013-03-05,Edmonton Oilers,3,Columbus Blue Jackets,4,SO,"14,952",,
2013-03-05,Minnesota Wild,3,Chicago Blackhawks,5,,"21,836",,
2013-03-05,Colorado Avalanche,1,Detroit Red Wings,2,,"20,066",,
2013-03-05,Winnipeg Jets,1,Florida Panthers,4,,"14,574",,
2013-03-05,St. Louis Blues,4,Los Angeles Kings,6,,"18,118",,
2013-03-05,Tampa Bay Lightning,5,New Jersey Devils,2,,"15,229",,
2013-03-05,Montreal Canadiens,3,New York Islanders,6,,"9,498",,
2013-03-05,Philadelphia Flyers,2,New York Rangers,4,,"17,200",,
2013-03-05,San Jose Sharks,3,Vancouver Canucks,2,SO,"18,910",,
2013-03-05,Boston Bruins,3,Washington Capitals,4,OT,"18,506",,
2013-03-06,Phoenix Coyotes,0,Anaheim Ducks,2,,"13,456",,
2013-03-06,San Jose Sharks,1,Calgary Flames,4,,"19,289",,
2013-03-06,Colorado Avalanche,2,Chicago Blackhawks,3,,"21,531",,
2013-03-06,Ottawa Senators,4,Toronto Maple Leafs,5,,"19,412",,
2013-03-07,Toronto Maple Leafs,2,Boston Bruins,4,,"17,565",,
2013-03-07,Montreal Canadiens,4,Carolina Hurricanes,2,,"16,774",,
2013-03-07,Vancouver Canucks,1,Columbus Blue Jackets,2,OT,"13,632",,
2013-03-07,Edmonton Oilers,0,Detroit Red Wings,3,,"20,066",,
2013-03-07,Dallas Stars,5,Los Angeles Kings,2,,"18,118",,
2013-03-07,Buffalo Sabres,2,New Jersey Devils,3,SO,"17,625",,
2013-03-07,New York Rangers,2,New York Islanders,1,OT,"16,170",,
2013-03-07,Pittsburgh Penguins,5,Philadelphia Flyers,4,,"19,997",,
2013-03-07,St. Louis Blues,6,Phoenix Coyotes,3,,"11,482",,
2013-03-07,Winnipeg Jets,2,Tampa Bay Lightning,1,,"19,204",,
2013-03-07,Florida Panthers,1,Washington Capitals,7,,"18,506",,
2013-03-08,Calgary Flames,0,Anaheim Ducks,4,,"15,839",,
2013-03-08,Chicago Blackhawks,2,Colorado Avalanche,6,,"18,007",,
2013-03-08,Winnipeg Jets,3,Florida Panthers,2,OT,"16,442",,
2013-03-08,Edmonton Oilers,0,Nashville Predators,6,,"17,277",,
2013-03-08,Ottawa Senators,3,New York Rangers,2,,"17,200",,
2013-03-09,Philadelphia Flyers,0,Boston Bruins,3,,"17,565",,
2013-03-09,New Jersey Devils,3,Carolina Hurricanes,6,,"18,680",,
2013-03-09,Detroit Red Wings,0,Columbus Blue Jackets,3,,"17,957",,
2013-03-09,Calgary Flames,2,Los Angeles Kings,6,,"18,248",,
